,rps02,rps22
0,新北市淡水區八勢一街 ６３ 巷 ４６ 號八樓,19000.0
1,新北市淡水區中山北路二段１８９巷１５弄１２號７樓,20000.0
2,新北市淡水區中正東路一段６３之５號１２樓,22000.0
3,新北市淡水區中正東路二段８３號四樓之５,15000.0
4,新北市淡水區北新路１６９巷６０號１６樓,10000.0
5,新北市淡水區平遠街１之５號３樓A室,9500.0
6,新北市淡水區民族路３１巷３２號,20000.0
7,新北市淡水區民富街１３５號２樓,18000.0
8,新北市淡水區民權路２５號１６樓,17000.0
9,新北市淡水區民權路２５號７樓之１３,17000.0
10,新北市淡水區自強路３８３號,12500.0
11,新北市淡水區自強路３８３號,9500.0
12,新北市淡水區沙崙路３５５號,13500.0
13,新北市淡水區英專路１６８號２樓,8500.0
14,新北市淡水區英專路２１巷１６號,30000.0
15,新北市淡水區淡金路２３號２８樓之２,15000.0
16,新北市淡水區淡金路二段１１５號６樓,14000.0
17,新北市淡水區新市三路二段３４１號７樓,14000.0
18,新北市淡水區新市五路三段３８８號７樓,16000.0
19,新北市淡水區新市五路三段４００號１４樓,22500.0
20,新北市淡水區新市五路三段４３０號１１樓,14500.0
21,新北市淡水區新市五路三段４３８號１３樓,14000.0
22,新北市淡水區新民街１２０巷２號三樓,5500.0
23,新北市淡水區新民街１５２巷２５號,5500.0
24,新北市淡水區新民街２１８之２號,5000.0
25,新北市淡水區新民街７６巷２０號三樓,3500.0
26,新北市淡水區學府路２０５巷４號四樓,6500.0
27,新北市淡水區濱海路三段１４８巷５號十樓,20000.0
28,新北市淡水區中山北路二段１９７號８樓,25000.0
29,新北市淡水區中山北路二段２１７號９樓,25000.0
30,新北市淡水區中山北路二段２２５號四樓,33000.0
31,新北市淡水區民權路２２１號２９樓之２,36000.0
32,新北市淡水區沙崙路１８１巷１３號３樓,18000.0
33,新北市淡水區淡金路一段５５７號１２樓,24000.0
34,新北市淡水區新市一路三段１０１巷１４２號十四樓,20000.0
35,新北市淡水區新市二路二段８６號四樓,17500.0
36,新北市淡水區新市三路二段１１８１號十一樓,21000.0
37,新北市淡水區新市三路二段２０７號２０樓,21000.0
38,新北市淡水區新市三路二段２１９號１７樓,16500.0
39,新北市淡水區新市三路二段２２９號２０樓,22000.0
40,新北市淡水區新市三路二段３４１號４樓,15500.0
41,新北市淡水區新市五路三段 ３２２ 號九樓,16500.0
42,新北市淡水區新市五路三段１７０號１５樓,16000.0
43,新北市淡水區新市五路三段１８０號１４樓,15000.0
44,新北市淡水區新市五路三段４２２號１３樓,15500.0
45,新北市淡水區新市五路三段４２８號８樓,15500.0
46,新北市淡水區新民街３２２巷４弄２號四樓,16500.0
47,新北市淡水區濱海路一段１４８巷１２１號５樓,17000.0
48,新北市淡水區濱海路一段３９８號７樓,18000.0
49,新北市淡水區大義街２９巷５０號三樓,16000.0
50,新北市淡水區中正路一段２２巷１２號三樓,12000.0
51,新北市淡水區中正路一段５５號四樓,10000.0
52,新北市淡水區沙崙路一段１２６巷６７號十二樓,19000.0
53,新北市淡水區淡金路一段５４１號二樓,8000.0
54,新北市淡水區新市一路一段１６２號十一樓,14000.0
55,新北市淡水區新市二路二段２號二樓之２,19000.0
56,新北市淡水區新市二路三段１７２巷２５號２樓,11000.0
57,新北市淡水區新市三路一段５２號十五樓,20000.0
58,新北市淡水區新市三路二段２０１號十六樓,15000.0
59,新北市淡水區新市三路二段２７７號二十二樓,20000.0
60,新北市淡水區新市五路三段２６２號二十三樓,10800.0
61,新北市淡水區新市五路三段２６８號二十二樓,16000.0
62,新北市淡水區學府路１５９號５樓之２,7000.0
63,新北市淡水區興福寮８８巷２３４號五樓,14956.0
