"district","rps01","rps02","rps03","rps04","rps05","rps06","rps07","rps08","rps09","rps10","rps11","rps12","rps13","rps14","rps15","rps16","rps17","rps18","rps19","rps20","rps21","rps22","rps23","rps24","rps25","rps26","rps27","rps28"
"淡水區","房地(土地+建物)","新北市淡水區八勢一街 ６３ 巷 ４６ 號八樓","20.71","住","","","1100904.0","土地1建物1車位0","八層","10.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","971125.0","116.979999999999","3.0","2.0","2.0","有","有","有","19000.0","162.0","","0.0","0.0","","RPQPMLSLRHGGFEF56CC"
"淡水區","房地(土地+建物)","新北市淡水區中山北路二段１８９巷１５弄１２號７樓","23.92","住","","","1100918.0","土地1建物1車位0","七層","14.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1051229.0","95.46","1.0","1.0","1.0","有","有","有","20000.0","210.0","","0.0","0.0","","RPSRMLSLRHGGFEF96CC"
"淡水區","房地(土地+建物)","新北市淡水區中正東路一段６３之５號１２樓","13.04","住","","","1100925.0","土地1建物1車位0","十二層","14.0","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","1011121.0","69.48","2.0","2.0","1.0","有","有","有","22000.0","317.0","","0.0","0.0","","RPVRMLTLRHGGFEF37CC"
"淡水區","房地(土地+建物)","新北市淡水區中正東路二段８３號四樓之５","2.53","住","","","1100928.0","土地1建物1車位0","四層","26.0","住宅大樓(11層含以上有電梯)","住家用","鋼骨混凝土造","920922.0","52.6799999999999","1.0","1.0","1.0","有","有","有","15000.0","285.0","","0.0","0.0","","RPXPMLTLRHGGFEF37CC"
"淡水區","房地(土地+建物)","新北市淡水區北新路１６９巷６０號１６樓","7.03","住","","","1100908.0","土地1建物1車位0","十六層","18.0","套房(1房1廳1衛)","住家用","鋼筋混凝土造","851228.0","46.63","1.0","1.0","1.0","有","有","無","10000.0","214.0","","0.0","0.0","","RPRNMLLLRHGGFEF38CC"
"淡水區","房地(土地+建物)","新北市淡水區平遠街１之５號３樓A室","23.5","住","","","1100920.0","土地1建物1車位0","三層","5.0","套房(1房1廳1衛)","住家用","鋼筋混凝土造","690811.0","94.32","1.0","1.0","1.0","有","無","有","9500.0","101.0","","0.0","0.0","","RPWNMLKMRHGGFEF88CC"
"淡水區","房地(土地+建物)","新北市淡水區民族路３１巷３２號","16.33","住","","","1100905.0","土地1建物1車位0","見其他登記事項","14.0","住宅大樓(11層含以上有電梯)","工業用","鋼筋混凝土造","860430.0","85.05","0.0","0.0","0.0","無","有","有","20000.0","235.0","","0.0","0.0","含管理費、稅金或水電等費用。；","RPSNMLLLRHGGFEF48CC"
"淡水區","房地(土地+建物)","新北市淡水區民富街１３５號２樓","27.65","住","","","1100925.0","土地1建物1車位0","二層","6.0","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","991027.0","77.8","2.0","1.0","1.0","有","有","有","18000.0","231.0","","0.0","0.0","","RPWQMLSLRHGGFEF27CC"
"淡水區","房地(土地+建物)","新北市淡水區民權路２５號１６樓","5.9","工","","","1100919.0","土地1建物1車位0","十六層","24.0","住宅大樓(11層含以上有電梯)","一般服務業","鋼筋混凝土造","971223.0","54.42","0.0","0.0","0.0","無","無","有","17000.0","312.0","","0.0","0.0","","RPVPMLSLRHGGFEF07CC"
"淡水區","房地(土地+建物)","新北市淡水區民權路２５號７樓之１３","5.67","工","","","1100909.0","土地1建物1車位0","七層","24.0","住宅大樓(11層含以上有電梯)","一般服務業","鋼筋混凝土造","971223.0","52.3499999999999","0.0","0.0","0.0","無","無","有","17000.0","325.0","","0.0","0.0","","RPTPMLSLRHGGFEF86CC"
